"Metabolite","IS","pH","ITC.Kd.app","Theoretical.Kd.app","High.pH.Kapp","No.IS.or.pK.corr"
"EDTA",0.15,7.5,0.00306433704324448,0.00190118448221397,2.97868529129326e-06,1.62181009735893e-06
"EDTA",0.39,7,0.0428656363768078,0.0305427391105263,1.32958425221565e-05,1.62181009735893e-06
"ATP",0.15,7.5,0.054990588360802,0.103428575668501,0.0902900676806386,0.0501187233627272
"ATP",0.39,7,0.253687345567828,0.604972151153367,0.402844866488954,0.0501187233627272
"Glucose 6-P",0.15,7.5,6.78472080873872,5.1475268569119,4.54800391391534,3.38844156139202
"Glucose 6-P",0.39,7,20.0642054574639,13.7045384654212,9.60660152663477,3.38844156139202
